rank,es_word,es_sentence,fr_word,fr_sentence
82,nuestro,"no servía para nuestro país porque somos diferentes",notre,"ça ne convenait pas à notre pays parce que nous sommes différents"
83,tan,"en esa mujer está todo; y por eso es tan maravillosa",si,"tout est en cette femme ; c'est pourquoi elle est si merveilleuse"
84,donde,"yo sé donde está la llave",où,"je sais où est la clé"
85,ahora,"lo importante ahora es contarte lo que le pasó",maintenant,"l'important maintenant est de te raconter ce qui lui est arrivé"
90,siempre,"siempre ha sido así",toujours,"ça a toujours été comme ça"
91,creer,"creo en la justicia de Dios",croire,"je crois en la justice de Dieu"
92,hablar,"algunos hablan el idioma romaní",parler,"certains parlent la langue romani"
93,llevar,"colgado al hombro llevaba un bolso",porter,"accroché à l'épaule, il portait un sac"
94,dejar,"ella no dejó que yo lo olvidara",laisser,"elle ne m'a pas laissé l'oublier"
95,nada,"no hay nada que hacer",rien,"il n'y a rien à faire"
96,cada,"de aprender cada día un poco más",chaque,"d'apprendre un peu plus chaque jour"
97,seguir,"el calor sofocante que sigue al mediodía",suivre,"la chaleur étouffante qui suit le midi"
98,menos,"no vale más ni menos que la anterior",moins,"ça ne vaut ni plus ni moins que la précédente"
99,nuevo,"marcaba el comienzo de una nueva vida para mí",nouveau,"il marquait le début d'une nouvelle vie pour moi"
100,encontrar,"encontró un lugar apropiado para instalar la sucursal",trouver,"il a trouvé un endroit approprié pour installer la succursale"
101,algo,"tengo algo que decirte",quelque chose,"j'ai quelque chose à te dire"
102,sólo,"no siempre vestía ropa de mujer; sólo en carnaval",seulement,"elle ne portait pas toujours des vêtements de femme ; seulement pendant le carnaval"
103,pues,"pues venga usted cuando quiera",donc,"alors, venez quand vous voulez"
104,llamar,"el juez se llamaba Pedro Barreda",appeler,"le juge s'appelait Pedro Barreda"
105,venir,"unos afirman que el jazz viene de África",venir,"certains affirment que le jazz vient d'Afrique"
106,pensar,"trataba de pensar de dónde podría sacar el dinero",penser,"j'essayais de penser d'où je pourrais obtenir de l'argent"
107,aquel,"unos veinte millones de pesetas (de aquella época)",ce,"environ vingt millions de pesetas (de cette époque)"
108,momento,"estaba pasando uno de los peores momentos de mi vida",moment,"je passais par l'un des pires moments de ma vie"
109,sino,"no somos nosotros el centro sino ella",mais,"nous ne sommes pas le centre, mais elle l'est"
110,esto,"quiero esto o aquello",ce,"je veux ceci ou cela"
111,salir,"para que le abriese la reja para salir al bosque",sortir,"pour qu'elle ouvre la grille pour sortir dans la forêt"
112,volver,"los habitantes afectados puedan volver a sus casas",revenir,"les habitants touchés puissent retourner chez eux"
113,forma,"necesito estar en buena forma física",forme,"j'ai besoin d'être en bonne forme physique"
114,antes,"quería verla antes de salir",avant,"je voulais la voir avant de partir"
115,bueno,"si estaba de buen humor, nos besábamos sin ruido",bien,"si elle était de bonne humeur, nous nous embrassions sans bruit"
116,casa,"hoy la gente vive en la calle; no vive en su casa",maison,"aujourd'hui, les gens vivent dans la rue ; ils ne vivent pas chez eux"
117,aunque,"aunque hay problemas, muchos se pueden evitar",bien que,"bien qu'il y ait des problèmes, beaucoup peuvent être évités"
118,mundo,"no se parecía a ninguna ciudad del mundo",monde,"elle ne ressemblait à aucune autre ville dans le monde"
119,tres,"tres direcciones: diagonal, horizontal y vertical",trois,"trois directions : diagonale, horizontale et verticale"
120,tal,"bien sabía que tal cosa era imposible",tel,"je savais bien que cette chose était impossible"
121,mejor,"'yo, al fin y al cabo, soy el mejor amigo'",meilleur,"'moi, après tout, je suis le meilleur ami'"
122,tomar,"mi padre tomó un sorbo de agua y continuó hablando",prendre,"mon père a pris une gorgée d'eau et a continué de parler"
123,cierto,"no sé si esto es cierto o no",certain,"je ne sais pas si c'est vrai ou non"
124,conocer,"ella conoce muy bien a Nicolás",connaître,"elle connaît très bien Nicolás"
125,hacia,"sus sentimientos hacia él son todavía tan firmes",vers,"ses sentiments envers lui sont encore si forts"
126,cómo,"mamá, ¿cómo puedo vivir?",comment,"maman, comment puis-je vivre ?"
127,mujer,"su mamá es una mujer muy enferma y no puede trabajar",femme,"sa mère est une femme très malade et ne peut pas travailler"
142,mirar,"y los ojos mirando al infinito",regarder,"et les yeux fixés vers l'infini"
143,hora,"deben celebrarse a primera hora de la tarde",heure,"ils doivent avoir lieu en début d'après-midi"
144,ninguno,"ninguno de mis cuatro varones se ha graduado de nada",aucun,"aucun de mes quatre fils ne s'est gradué de quoi que ce soit"
145,trabajo,"pasó su vida entera dedicado a su trabajo",travail,"il a consacré toute sa vie à son travail"
146,casi,"estamos casi siempre solos",presque,"nous sommes presque toujours seuls"
128,vivir,"'vamos a Buenos Aires, a vivir en la miseria'",vivre,"'allons à Buenos Aires, vivre dans la misère'"
129,aquí,"¡Aquí hay dos también!",ici,"Ici, il y en a aussi deux !"
130,caso,"luego, en este caso está plenamente justificada",cas,"ensuite, dans ce cas, c'est pleinement justifié"
131,sentir,"lloraba de sentirse tan depravado",ressentir,"il pleurait de se sentir si dépravé"
132,luego,"luego va con su esposa y la contagia",ensuite,"ensuite, il va avec sa femme et la contamine"
133,país,"de todos los países de las Américas",pays,"de tous les pays des Amériques"
134,tratar,"eso es precisamente lo que tratamos de evitar",traiter,"c'est précisément ce que nous essayons d'éviter"
135,lugar,"es el lugar más lindo de la costa",endroit,"c'est l'endroit le plus beau de la côte"
136,te,"¿no te han hablado?",toi,"on ne t'a pas parlé ?"
137,persona,"era una persona de mucho talento",personne,"c'était une personne très talentueuse"
138,mayor,"yo trabajé la mayor parte del tiempo",majeur,"j'ai travaillé la majeure partie du temps"
139,último,"se opuso al viaje hasta el último momento",dernier,"il s'est opposé au voyage jusqu'au dernier moment"
140,propio,"le doy dinero de mi propio bolsillo",propre,"je donne de l'argent de ma propre poche"
141,quien,"'ahora o, quién sabe, nunca'",qui,"'maintenant ou, qui sait, jamais'"
147,punto,"desde mi punto de vista son las más significativas",point,"de mon point de vue, ce sont les plus significatives"
148,durante,"durante una semana traté de no verla",pendant,"pendant une semaine, j'ai essayé de ne pas la voir"
149,cualquier,"en cualquier caso, necesitamos soledad",quel que soit,"en tout cas, nous avons besoin de solitude"
150,mano,"se pueden contar con los dedos de una mano",main,"on peut les compter sur les doigts d'une main"
151,nunca,"se aprecia ahora más que nunca la libertad",jamais,"la liberté n'a jamais été aussi appréciée qu'aujourd'hui"
152,manera,"lo hizo de manera muy informal",manière,"il l'a fait de manière très informelle"
153,cual,"el pañuelo con el cual me limpié",lequel,"le mouchoir avec lequel je me suis essuyé"
154,mientras,"nos miró mientras comía un gran trozo de pan",pendant que,"il nous regardait tout en mangeant un gros morceau de pain"
155,contar,"me contó una larga y estúpida historia",raconter,"il m'a raconté une longue et stupide histoire"
156,ﬁn,"se habrá terminado la humanidad y ése será el fin de la Historia",fin,"l'humanité sera terminée et ce sera la fin de l'Histoire"
157,tipo,"reconozco tu oposición a este tipo de ideología",type,"je reconnais ton opposition à ce type d'idéologie"
158,gente,"la gente tiene miedo de perder su identidad",gens,"les gens ont peur de perdre leur identité"
159,además,"además de español, ¿hablas algún otro idioma?",en plus,"en plus de l'espagnol, parles-tu une autre langue ?"
160,solo,"se sentía solo, espantosamente solo",seul,"il se sentait seul, terriblement seul"
161,empezar,lentamente su auto empieza a avanzar,commencer,"sa voiture démarre lentement"
162,ejemplo,"hay otras, por ejemplo las guerras",exemple,"il y a d'autres, par exemple les guerres"
163,esperar,los astrónomos llevaban siglos esperando a que sucediera,attendre,"les astronomes attendaient depuis des siècles que cela se produise"
164,hoy,ayer estuvo aquí; hoy puede estar allá,aujourd'hui,"il était ici hier ; aujourd'hui, il peut être là-bas"
165,lado,está situada al lado derecho,côté,"elle est située du côté droit"
166,hijo,cada padre espera que su hijo sea más que él,fil,"chaque parent espère que son fils sera meilleur que lui"
167,allí,"allí están, junto a la playa",là-bas,"ils sont là-bas, près de la plage"
168,éste,¿qué esperabas de un lugar como éste?,ce,"qu'attendais-tu d'un endroit comme celui-ci ?"
169,problema,para resolver un problema tan sencillo,pour,"pour résoudre un problème si simple"
170,cuenta,sería bueno sacar la cuenta y calcular gastos,compte,"il serait bon de faire le compte et de calculer les dépenses"
171,medio,"rough• por medio de la música, se conocen los",par le biais de,"par le biais de la musique, on se connaît"
172,contra,hermanos contra hermanos y padres contra hijos,contre,"frères contre frères et parents contre enfants"
179,entrar,¡este maldito no puede entrar en nuestra casa!,entrer,"ce maudit ne peut pas entrer dans notre maison !"
180,embargo,"el concierto tendrá, sin embargo, un significado especial",cependant,"le concert aura cependant une signification particulière"
181,único,era el único hijo varón de la familia,unique,"il était le seul fils de la famille"
182,padre,¿es el padre de mi futuro hijo?,père,"est-il le père de mon futur enfant ?"
183,trabajar,comenzaban a trabajar de camareros,travailler,"ils commençaient à travailler comme serveurs"
184,pequeño,a pesar de su pequeño tamaño estaba llena de detalles,petit,"malgré sa petite taille, elle était pleine de détails"
185,alto,desde lo alto de los Alpes,élevé,"depuis les hauteurs des Alpes"
186,cambio,podía requerir un cambio de actitud,changement,"cela pourrait nécessiter un changement d'attitude"
187,escribir,mi padre escribe unas cartas tan cortas,écrire,"mon père écrit des lettres si courtes"
188,cuatro,tienen cuatro patas y cuernos,quatre,"ils ont quatre pattes et des cornes"
189,ahí,está ahí en la mesa de luz,là-bas,"elle est là-bas sur la table de nuit"
190,perder,el golpe me hizo perder el equilibrio,perdre,"le coup m'a fait perdre l'équilibre"
191,nosotros,jamás lo hemos hecho nosotros,nous,"nous ne l'avons jamais fait"
173,buscar,decidí volver a la calle y buscar un empleo,chercher,"j'ai décidé de retourner dans la rue et de chercher un emploi"
174,dentro,¿o algo quedó dentro del pozo tapiado?,à l'intérieur,"ou quelque chose est-il resté à l'intérieur du puits rebouché ?"
175,largo,tenía el pelo largo a la altura de los pechos,long,"elle avait les cheveux longs jusqu'à la poitrine"
176,palabra,jamás dijo una palabra en inglés,mot,"il n'a jamais dit un mot en anglais"
177,existir,¿puede existir alguien que sea perfecto?,exister,"peut-il y avoir quelqu'un qui soit parfait ?"
178,niño,he tenido suerte desde que era niño,enfant,"j'ai de la chance depuis que je suis enfant"
192,historia,los períodos más diversos de la historia del arte,histoire,"les périodes les plus diverses de l'histoire de l'art"
193,idea,podemos renunciar a la idea de la igualdad,idée,"nous pouvons renoncer à l'idée d'égalité"
194,agua,"Déme usted un vaso de agua, que tengo mucha sed",eau,"Donnez-moi un verre d'eau, j'ai très soif"
195,producir,nunca llegó a producirse el tercer y prometido ataque,produire,"la troisième attaque promise n'a jamais eu lieu"
196,noche,"trabaja por la mañana, por la tarde, y por la noche",nuit,"il travaille le matin, l'après-midi et le soir"
197,ciudad,quieren estar en la ciudad y no salir al campo,villes,"ils veulent être en ville et ne pas sortir à la campagne"
198,modo,hay diferencia entre el modo de hablar y el de escribir,mode,"il y a une différence entre la façon de parler et celle d'écrire"
199,nombre,Susana no es mi nombre verdadero,nom,"Susana n'est pas mon vrai nom"
200,ocurrir,el miedo a lo que pudiera ocurrir me inmovilizó,se passer,"la peur de ce qui pourrait arriver m'a paralysé"
214,bajo,hacía dos o tres grados bajo cero,en dessous,"il faisait deux ou trois degrés en dessous de zéro"
215,recordar,prefiero no recordar esa época de mi vida,se souvenir,"je préfère ne pas me souvenir de cette période de ma vie"
216,grupo,¿cuál será su papel en ese grupo de trabajo?,groupe,"quel sera son rôle dans ce groupe de travail ?"
217,mil,unos mil años han pasado desde entonces,mille,"mille ans se sont écoulés depuis"
218,humano,"somos seres humanos, y gente normal",humain,"nous sommes des êtres humains, et des gens normaux"
201,familia,la familia es la unidad social más significativa,famille,"la famille est l'unité sociale la plus significative"
219,terminar,cuelga sin terminar la conversación,terminer,"il raccroche sans terminer la conversation"
202,realidad,"le habló a Rosabel, que en realidad se llamaba María",réalité,"il parla à Rosabel, qui s'appelait en réalité María"
203,entender,todavía no entiendo demasiado bien lo que pasó,comprendre,"je ne comprends pas encore très bien ce qui s'est passé"
204,pedir,me atreví a pedirle que me diera clases,demander,"j'ai osé lui demander de me donner des cours"
205,recibir,Pavlov recibe el Premio Nobel por sus estudios,recevoir,"Pavlov reçoit le prix Nobel pour ses études"
206,obra,la primera obra literaria de Dante fue La Vida Nueva,œuvre,"la première œuvre littéraire de Dante fut La Divine Comédie"
207,importante,el momento más importante de la ceremonia,important,"le moment le plus important de la cérémonie"
208,medio,la noche sorprendió a los viajeros a medio camino,au milieu,"la nuit a surpris les voyageurs à mi-chemin"
209,verdad,¡diga la verdad! ¡Todo le acusa!,vérité,"dites la vérité ! Tout vous accuse !"
210,mes,tendrá lugar el próximo mes de noviembre,mois,"il aura lieu le mois prochain, en novembre"
211,todavía,los animales que todavía están vivos,encore,"les animaux qui sont encore en vie"
212,razón,"es verdad, tienes razón; ella no es de San Juan",raison,"c'est vrai, tu as raison ; elle n'est pas de San Juan"
213,cuanto,hoy hay más apatía en cuanto a estas cuestiones,quant,"aujourd'hui, il y a plus d'apathie en ce qui concerne ces questions"
220,permitir,no se me permitió jugar allí por varios días,permettre,"on ne m'a pas autorisé à jouer là-bas pendant plusieurs jours"
221,aparecer,"detrás suyo, Teresa apareció por la puerta de la cocina",apparaître,"derrière lui, Teresa est apparue par la porte de la cuisine"
222,conseguir,"vas a robar, para conseguir plata",obtenir,"tu vas voler, pour obtenir de l'argent"
223,comenzar,a los veintidós años comenzó a aprender castellano,commencer,"à l'âge de vingt-deux ans, il a commencé à apprendre l'espagnol"
224,varios,está constituida por varios dialectos,plusieurs,"elle est constituée de plusieurs dialectes"
225,posible,trató de hacer el menor ruido posible para no despertarla,possible,"il a essayé de faire le moins de bruit possible pour ne pas la réveiller"
226,servir,destapa la botella y sirve unas copas,servir,"il débouche la bouteille et sert quelques verres"
227,general,"es decir, algo equivalente a los genes en sentido general",général,"c'est-à-dire, quelque chose d'équivalent aux gènes de manière générale"
228,sacar,la Lechuza sacó un revólver y mató a este muchacho,tirer,"la Lechuza sortit un revolver et tira sur ce garçon"
229,necesitar,vas a necesitar un trabajo nuevo,avoir besoin,"tu auras besoin d'un nouvel emploi"
230,relación,he tenido una relación muy estrecha con los compositores,relation,"j'ai eu une relation très étroite avec les compositeurs"
231,cinco,gozo de tener los cinco sentidos,cinq,"j'ai le bonheur d'avoir les cinq sens"
232,cuerpo,el cuerpo humano se compone de millones de células,corps,"le corps humain est composé de millions de cellules"
233,nadie,nadie sabe nada,personne,"personne ne sait rien"
234,mantener,Luis cruzó los brazos y se mantuvo sereno,maintenir,"Luis croisa les bras et resta calme"
235,hecho,le gustó el hecho de que yo estuviese allí,faire,"elle a aimé le fait que j'étais là"
236,ante,qué hacer y cómo actuar ante estas circunstancias,face à,"quoi faire et comment agir face à ces circonstances"
237,principio,tiene fiebre al principio de la enfermedad,début,"elle a de la fièvre au début de la maladie"
238,resultar,todo con gran precisión; el viaje resultó perfecto,résultat,"tout avec une grande précision ; le voyage a été parfait"
239,igual,los indios son seres humanos iguales que nosotros,pareil,"les Indiens sont des êtres humains comme nous"
240,señor,¿puedo pagar con dólares? Sí señor,monsieur,"puis-je payer en dollars ? Oui monsieur"
241,pueblo,el libro no representa al pueblo portugués,peuple,"le livre ne représente pas le peuple portugais"
242,tarde,eran las dos de la tarde y yo estaba sin comer nada,tard,"il était deux heures de l'après-midi et je n'avais rien mangé"
243,segundo,en la segunda mitad del siglo,deuxième,"dans la deuxième moitié du siècle"
244,leer,prefiero leer a los autores de moda,lire,"je préfère lire les auteurs à la mode"
245,caer,no quiero caer en mi tumba siendo joven,tomber,"je ne veux pas tomber dans ma tombe jeune"
246,cambiar,no van a cambiar las relaciones de poder,changer,"les relations de pouvoir ne vont pas changer"
247,ojo,los grandes ojos verdes la miraban con ternura,œil,"les grands yeux verts la regardaient avec tendresse"
248,calle,llegó a la esquina de la calle La Merced y la Huancavelica,rue,"elle est arrivée au coin de la rue La Merced et Huancavelica"
249,presentar,P. me presentó con gravedad a una chica virgen,présenter,"P. m'a présenté sérieusement à une fille vierge"
250,blanco,esta foto es en blanco y negro,blanc,"cette photo est en noir et blanc"
251,crear,lo que A. creaba con las manos era un don sobrenatural,créer,"ce que A. créait avec ses mains était un don surnaturel"
252,abrir,todos quieren abrir la puerta para ir a jugar,ouvrir,"tout le monde veut ouvrir la porte pour aller jouer"
253,libro,¿está usted escribiendo un libro sobre la política?,livre,"écrivez-vous un livre sur la politique ?"
254,distinto,abrirían las puertas a un futuro distinto para mí,différent,"ils ouvriraient les portes à un avenir différent pour moi"
255,fuerza,"hay artistas excepcionales, con una fuerza increíble",force,"il y a des artistes exceptionnels, avec une force incroyable"
256,luz,desaparece la luz hasta el oscuro,lumière,"la lumière disparaît jusqu'à l'obscurité"
257,según,"según su experiencia, ésa era la pista correcta",selon,"selon son expérience, c'était la piste correcte"
258,santo,todos iban detrás del Santo Patrono con rezos y cánticos,saint,"tous suivaient le Saint Patron avec des prières et des chants"
259,claro,esto constituye un claro precedente,clair,"cela constitue un précédent clair"
260,frente,"om• lo Uno frente a lo Otro, el Bien frente al Mal",face à,"le Un face à l'Autre, le Bien face au Mal"
261,considerar,no podía considerar la primera hipótesis con seriedad,considérer,"je ne pouvais pas considérer sérieusement la première hypothèse"
262,amigo,¿No tienes un amigo a quien me podrías presentar?,ami,"tu n'as pas un ami que tu pourrais me présenter ?"
263,oír,no se oía ningún sonido,entendre,"on n'entendait aucun son"
264,cuyo,"el oxígeno, cuyo número atómico es 8",dont,"l'oxygène, dont le numéro atomique est 8"
265,sentido,una cantante-actriz en el sentido actual del término,sens,"une chanteuse-actrice dans le sens actuel du terme"
266,acabar,"ish• la que ahora se acaba de traducir al castellano",terminer,"ish• celle qui vient d'être traduite en espagnol"
267,paso,"sí, la escritura fue un paso decisivo",étape,"oui, l'écriture a été une étape décisive"
268,situación,¿cómo es la situación allí actualmente?,situation,"comment est la situation là-bas actuellement ?"
269,usted,"los tiene usted, señor alcalde",vous,"vous les avez, monsieur le maire"
270,bastante,estoy bastante satisfecho con mi vida,assez,"je suis assez satisfait de ma vie"
271,convertir,el café llegó a convertirse en la bebida más popular de Cuba,devenir,"le café est devenu la boisson la plus populaire de Cuba"
272,gracia,"bueno, gracias por tu tiempo, ¿eh?",merci,"eh bien, merci pour ton temps, hein ?"
273,siglo,los poetas más populares del siglo XX,siècle,"les poètes les plus populaires du XXe siècle"
274,dios,ahora sé que hay un Dios en los cielos,dieu,"maintenant je sais qu'il y a un Dieu dans les cieux"
275,malo,éste se lamentó de su mala suerte,mauvais,"celui-ci se lamenta de sa mauvaise chance"
276,tierra,"la tierra daba el maíz, el trigo y el arroz",terre,"la terre donnait le maïs, le blé et le riz"
277,papel,el poco papel que tenemos lo dedicamos a libros,papier,"le peu de papier que nous avons est consacré aux livres"
278,madre,"ahora está casada, es madre de familia",mère,"maintenant elle est mariée, elle est mère de famille"
279,tampoco,porque yo no la conozco y él tampoco la conoce,aussi,"parce que je ne la connais pas et lui non plus"
280,social,"no me gusta la vida social, no voy a ninguna parte",social,"je n'aime pas la vie sociale, je ne vais nulle part"
281,viejo,"el viejo tiene como ochenta años, y está loco",vieux,"le vieil homme a environ quatre-vingts ans, et il est fou"
282,aún,se está muriendo; aún está en coma,encore,"il est en train de mourir ; il est encore dans le coma"
283,tema,entre ellos pues está el tema de la ecología,sujet,"parmi eux, il y a donc le sujet de l'écologie"
284,político,nos afiliamos a un partido político,politique,"nous nous sommes affiliés à un parti politique"
285,español,la lengua española de hoy es el castellano,espagnol,"la langue espagnole d'aujourd'hui est le castillan"
286,ganar,a los diez años ganó el Premio Nobel,gagner,"à dix ans, il a remporté le prix Nobel"
287,formar,sus componentes se marchaban para formar sus propios grupos,former,"ses membres partaient pour former leurs propres groupes"
288,clase,¿qué otra clase de música le interesa?,classe,"quelle autre classe de musique vous intéresse ?"
289,traer,"sí, me trae un zumo de naranjas, por favor",apporter,"oui, apportez-moi un jus d'orange, s'il vous plaît"
290,partir,a partir de los cuatro minutos la tarifa es estable,partir,"à partir de quatre minutes, le tarif est fixe"
291,dinero,"¿hay mucho dinero?, ¿es muy rico?",argent,"y a-t-il beaucoup d'argent ? Est-il très riche ?"
292,quién,¿quién es el padre de su hijo?,qui,"qui est le père de votre enfant ?"
293,morir,la pobre murió de pulmonía meses después,mourir,"la pauvre est morte de pneumonie quelques mois plus tard"
294,incluso,e incluso puede detectar cuando hay errores,même,"et il peut même détecter quand il y a des erreurs"
295,campo,mi campo principal es la enfermedad coronaria,domaine,"mon domaine principal est la maladie coronarienne"
296,aceptar,A. estuvo indecisa en aceptar su petición de matrimonio,accepter,"A. a hésité à accepter sa demande en mariage"
297,quizás,"quizás sí, pero de otra forma",peut-être,"peut-être bien, mais d'une autre manière"
298,cabeza,planteaba muchas preguntas en mi cabeza,tête,"elle posait beaucoup de questions dans ma tête"
299,realizar,el viaje se realizó en noviembre,réaliser,"le voyage a eu lieu en novembre"
300,ciento,se pueda confiar ciento por ciento,cent,"on peut faire confiance à cent pour cent"
